ID,Name,Email,Course,Status,Grade
2,Sara Khan,sara@email.com,Data Science,Active,B-
3,Rahul Joshi,rahul@email.com,Mathematics,Pending,B+
4,Maya Reddy,maya@email.com,Physics,Active,A-
5,Vikram Nair,vikram@email.com,AI & ML,Inactive,B
6,Jane Doe,student.2001@example.com,Chemistry,Active,A+
7,Jane Doe,student.3170@example.com,Chemistry,Active,A+
8,Jane Doe,student.8244@example.com,Chemistry,Active,A+
9,Jane Doe,student.8195@example.com,Chemistry,Active,A+
10,Jamisetti Simhadri,rajibongu3@gmail.com,cse,Pending,9.0
11,jamisetti simhadri,simhadrijamisetti@gmail.com,cse,Active,9
12,jamisetti simhadri,simhadrpijamisetti@gmail.com,cse,Pending,9
13,Jane Doe,student.7005@example.com,Chemistry,Active,A+
14,Jane Doe,student.7500@example.com,Chemistry,Active,A+
15,Jane Doe,student.2461@example.com,Chemistry,Active,A+
16,Arjun Patel1,arjun@email.com,AI & ML,Active,A+
17,jamisetti simhadri,simhadri1jamisetti@gmail.com,cse,Active,9
